"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test performs click on a given element with given name and checks if corresponding element was loaded. Uses
    parametrize to perform same operation with every element to ensure correct loading of different elements.
    TODO: load data from csv/json
    :param get_logged_page: page with login
    :param basic_url: basic url
    :param item_name: item to compare
    :return:
    ","98","test_open_inventory_item[firefox-Sauce Labs Onesie]","tests","Sat Aug 23 06:00:34 UTC 2025","passed","Sat Aug 23 06:00:34 UTC 2025","","test_open_inventory_item","",""
"
    Test performs click on a given element with given name and checks if corresponding element was loaded. Uses
    parametrize to perform same operation with every element to ensure correct loading of different elements.
    TODO: load data from csv/json
    :param get_logged_page: page with login
    :param basic_url: basic url
    :param item_name: item to compare
    :return:
    ","47","test_open_inventory_item[chromium-Sauce Labs Onesie]","tests","Sat Aug 23 05:59:56 UTC 2025","passed","Sat Aug 23 05:59:56 UTC 2025","","test_open_inventory_item","",""
"","908","test_login_success[firefox]","tests","Sat Aug 23 06:00:19 UTC 2025","passed","Sat Aug 23 06:00:20 UTC 2025","","test_login","",""
"
    Test performs click on a given element with given name and checks if corresponding element was loaded. Uses
    parametrize to perform same operation with every element to ensure correct loading of different elements.
    TODO: load data from csv/json
    :param get_logged_page: page with login
    :param basic_url: basic url
    :param item_name: item to compare
    :return:
    ","50","test_open_inventory_item[chromium-Sauce Labs Fleece Jacket]","tests","Sat Aug 23 05:59:55 UTC 2025","passed","Sat Aug 23 05:59:55 UTC 2025","","test_open_inventory_item","",""
"
    Test performs click on a given element with given name and checks if corresponding element was loaded. Uses
    parametrize to perform same operation with every element to ensure correct loading of different elements.
    TODO: load data from csv/json
    :param get_logged_page: page with login
    :param basic_url: basic url
    :param item_name: item to compare
    :return:
    ","44","test_open_inventory_item[chromium-Sauce Labs Bike Light]","tests","Sat Aug 23 05:59:54 UTC 2025","passed","Sat Aug 23 05:59:54 UTC 2025","","test_open_inventory_item","",""
"","538","test_login_success[chromium]","tests","Sat Aug 23 05:59:51 UTC 2025","passed","Sat Aug 23 05:59:52 UTC 2025","","test_login","",""
"
    Test performs click on a given element with given name and checks if corresponding element was loaded. Uses
    parametrize to perform same operation with every element to ensure correct loading of different elements.
    TODO: load data from csv/json
    :param get_logged_page: page with login
    :param basic_url: basic url
    :param item_name: item to compare
    :return:
    ","103","test_open_inventory_item[firefox-Sauce Labs Backpack]","tests","Sat Aug 23 06:00:22 UTC 2025","passed","Sat Aug 23 06:00:23 UTC 2025","","test_open_inventory_item","",""
"
    Test performs click on a given element with given name and checks if corresponding element was loaded. Uses
    parametrize to perform same operation with every element to ensure correct loading of different elements.
    TODO: load data from csv/json
    :param get_logged_page: page with login
    :param basic_url: basic url
    :param item_name: item to compare
    :return:
    ","81","test_open_inventory_item[firefox-Sauce Labs Fleece Jacket]","tests","Sat Aug 23 06:00:31 UTC 2025","passed","Sat Aug 23 06:00:31 UTC 2025","","test_open_inventory_item","",""
"
    Test performs click on a given element with given name and checks if corresponding element was loaded. Uses
    parametrize to perform same operation with every element to ensure correct loading of different elements.
    TODO: load data from csv/json
    :param get_logged_page: page with login
    :param basic_url: basic url
    :param item_name: item to compare
    :return:
    ","68","test_open_inventory_item[firefox-Sauce Labs Bike Light]","tests","Sat Aug 23 06:00:25 UTC 2025","passed","Sat Aug 23 06:00:25 UTC 2025","","test_open_inventory_item","",""
"
    Test performs click on a given element with given name and checks if corresponding element was loaded. Uses
    parametrize to perform same operation with every element to ensure correct loading of different elements.
    TODO: load data from csv/json
    :param get_logged_page: page with login
    :param basic_url: basic url
    :param item_name: item to compare
    :return:
    ","44","test_open_inventory_item[chromium-Sauce Labs Backpack]","tests","Sat Aug 23 05:59:53 UTC 2025","passed","Sat Aug 23 05:59:53 UTC 2025","","test_open_inventory_item","",""
"
    Test performs click on a given element with given name and checks if corresponding element was loaded. Uses
    parametrize to perform same operation with every element to ensure correct loading of different elements.
    TODO: load data from csv/json
    :param get_logged_page: page with login
    :param basic_url: basic url
    :param item_name: item to compare
    :return:
    ","97","test_open_inventory_item[firefox-Sauce Labs Bolt T-Shirt]","tests","Sat Aug 23 06:00:28 UTC 2025","passed","Sat Aug 23 06:00:28 UTC 2025","","test_open_inventory_item","",""
"
    Test performs click on a given element with given name and checks if corresponding element was loaded. Uses
    parametrize to perform same operation with every element to ensure correct loading of different elements.
    TODO: load data from csv/json
    :param get_logged_page: page with login
    :param basic_url: basic url
    :param item_name: item to compare
    :return:
    ","47","test_open_inventory_item[chromium-Test.allTheThings() T-Shirt (Red)]","tests","Sat Aug 23 05:59:57 UTC 2025","passed","Sat Aug 23 05:59:57 UTC 2025","","test_open_inventory_item","",""
"
    Test performs click on a given element with given name and checks if corresponding element was loaded. Uses
    parametrize to perform same operation with every element to ensure correct loading of different elements.
    TODO: load data from csv/json
    :param get_logged_page: page with login
    :param basic_url: basic url
    :param item_name: item to compare
    :return:
    ","50","test_open_inventory_item[chromium-Sauce Labs Bolt T-Shirt]","tests","Sat Aug 23 05:59:55 UTC 2025","passed","Sat Aug 23 05:59:55 UTC 2025","","test_open_inventory_item","",""
"
    Test performs click on a given element with given name and checks if corresponding element was loaded. Uses
    parametrize to perform same operation with every element to ensure correct loading of different elements.
    TODO: load data from csv/json
    :param get_logged_page: page with login
    :param basic_url: basic url
    :param item_name: item to compare
    :return:
    ","95","test_open_inventory_item[firefox-Test.allTheThings() T-Shirt (Red)]","tests","Sat Aug 23 06:00:36 UTC 2025","passed","Sat Aug 23 06:00:37 UTC 2025","","test_open_inventory_item","",""
